scope,industry,target,comparison,block,wape_gain_pp,gain_sd,gain_min,gain_max,sse_reduction
4004,대형할인점,amt,leave_one_block_out,1,3.19474291652874,5.55215826003543,-8.18866448788286,9.20696401075262,-0.587508786790136
4004,대형할인점,amt,leave_one_block_out,2,-0.814533739151131,4.1760383428708,-9.38005552400409,3.03683856023937,0.0369581734694241
4004,대형할인점,amt,leave_one_block_out,3,-0.972426700967281,0.912116491449258,-2.59644698206778,0.209661954946994,-0.0120961703348214
4004,대형할인점,amt,leave_one_block_out,4,-9.00053633738548,3.45320730649688,-17.4750436693788,-5.72215645392915,-1.17062155884676
4004,대형할인점,amt,leave_one_block_out,5,-1.68350194870875,1.96442106735616,-6.58574309059528,0.45782852418691,-0.266311748946566
4004,대형할인점,amt,leave_one_block_out,6,1.72487026881126,1.35977697011669,-0.7527724829965,3.8776343591115,-0.0291515785137459
4004,대형할인점,amt,leave_one_block_out,7,-0.136041994067403,1.16000649133681,-2.07975969855886,1.45359455656284,0.0301890726311922
4004,대형할인점,amt,leave_one_block_out,8,-4.52977986849785,3.99710151669495,-13.2067313830124,0.939320848375302,-1.04977530210989
4004,대형할인점,amt,leave_one_block_out,9,-4.17823553367044,4.92561873209825,-12.915436175136,3.22822534955293,-0.903905093774792
4004,대형할인점,amt,sequential,2,1.24123850751228,1.49985443495902,-0.553694175516306,4.41523000919474,0.0264395411172874
4004,대형할인점,amt,sequential,3,-2.19747802945026,1.28573547039376,-4.36303523023985,-0.226113291163721,-0.128215689486947
4004,대형할인점,amt,sequential,4,-3.49292927824699,1.39818792609749,-5.53207801115794,-1.07778105475616,-0.185910235702556
4004,대형할인점,amt,sequential,5,-1.20711896881359,0.718428007076439,-2.40661547262234,-0.466922595086339,-0.0129277158085609
4004,대형할인점,amt,sequential,6,2.0564621986937,1.07480946506116,-0.347821913269519,3.23614561663638,0.0665039655824724
4004,대형할인점,amt,sequential,7,-0.950465907618866,0.800642355811109,-1.91427395274983,0.541568780197466,-0.040357550429543
4004,대형할인점,amt,sequential,8,-0.493803949429478,2.60621372385273,-5.18742637979394,3.45875209964572,-0.0365801836752857
4004,대형할인점,amt,sequential,9,-4.17823553367044,4.92561873209825,-12.915436175136,3.22822534955293,-0.903905093774792
4004,대형할인점,amt,sequential,10,0.212369963968222,1.49102388958284,-2.39143434997028,2.04039286189593,0.0600764759961583
4004,대형할인점,cnt,leave_one_block_out,1,8.40426239879888,3.53863006943222,1.81347174220573,12.4937925021052,0.0840892609861803
4004,대형할인점,cnt,leave_one_block_out,2,-0.586737069909119,2.36351293802757,-5.63571057395119,1.81799353395697,0.00653318217343083
4004,대형할인점,cnt,leave_one_block_out,3,-0.562878987283013,0.297500059538172,-1.01405752730366,0.128309787807968,-0.0174967021531992
4004,대형할인점,cnt,leave_one_block_out,4,-4.35971112070645,1.18002893834034,-6.16180312949119,-2.89203638262785,-0.250886775783717
4004,대형할인점,cnt,leave_one_block_out,5,-0.421086671756521,1.4110986884556,-3.53602005221657,1.15845268657284,-0.0845624007043045
4004,대형할인점,cnt,leave_one_block_out,6,0.506148163185146,1.00518155151142,-0.785980978909684,2.36844540341669,-0.0107843651455733
4004,대형할인점,cnt,leave_one_block_out,7,-0.0492813991018171,0.716497563683374,-1.03782563970513,1.23301879455401,0.00237441549873434
4004,대형할인점,cnt,leave_one_block_out,8,-1.81848070126961,1.59663240534691,-3.68937405887476,0.818118917161736,-0.241193913301791
4004,대형할인점,cnt,leave_one_block_out,9,2.0555313931206,2.88960611180484,-1.81609676798967,5.92981945605384,-0.067658112441662
4004,대형할인점,cnt,sequential,2,4.15936591033563,1.16013687844546,2.46263518635732,5.9514595169425,0.0868400922404118
4004,대형할인점,cnt,sequential,3,-1.63677123343982,0.693394333379124,-2.99603803096363,-0.81675910266964,-0.0901474625315685
4004,대형할인점,cnt,sequential,4,-1.83112594345914,0.807112363743127,-2.86578144664921,-0.87882902200882,-0.0478244420439791
4004,대형할인점,cnt,sequential,5,-0.26205989251074,0.444841169942321,-0.896738208051084,0.395647039703462,-0.00839501135468039
4004,대형할인점,cnt,sequential,6,2.12434011174245,0.837999771946151,0.486089756048258,3.13930339621513,0.0379466776407556
