scenario,scope,industry,model,family,target,n,wape,wape_sd,wape_min,wape_max,mae,r2_original,bias,sse,nonpositive
general_gu_aggregate,4004,대형할인점,M5,log_ridge_smear,amt,170,0.621577270964052,0.0250991393927753,0.579933059645195,0.664040347016918,5441329039.13309,0.0684897657166608,0.185151661406655,1.69568428399077e+22,0
general_gu_aggregate,4004,대형할인점,M5,log_ridge_smear,cnt,170,0.48669877234426,0.0119695381940328,0.466423682248964,0.503352393032385,122501.431113042,0.398858312956379,0.0804780122111853,9189642108529.19,0
general_gu_aggregate,4004,대형할인점,M5,log_ridge_smear,ticket,170,0.250738623297364,0.00618356608688317,0.240057488152072,0.258328332932688,8907.67039091616,0.0268395337998277,0.00144666265456463,33170319151.703,0
general_gu_aggregate,4004,대형할인점,M9,log_ridge_smear,amt,170,0.592001798967486,0.031982622200907,0.548926237722397,0.639029959623733,5182423377.45827,0.0300156311940278,0.125982088388519,1.76572107247584e+22,0
general_gu_aggregate,4004,대형할인점,M9,log_ridge_smear,cnt,170,0.427420480437015,0.0195283724702177,0.402028245242939,0.462279871178498,107581.164193943,0.467771329730244,0.0361473038377129,8136170066213.6,0
general_gu_aggregate,4004,대형할인점,M9,log_ridge_smear,ticket,170,0.264585583819827,0.00690299537540748,0.254142272991614,0.275210884909733,9399.59364800386,-0.00122975443138776,0.00650074708210261,34127065013.5916,0
general_gu_aggregate,4010,편의점,M5,log_ridge_smear,amt,228,0.13861195124303,0.00409519412513285,0.132479756041631,0.142854272621972,1247150027.46566,0.946032733511657,0.0174163020799817,9.91714054143467e+20,0
general_gu_aggregate,4010,편의점,M5,log_ridge_smear,cnt,228,0.157783044902572,0.00503171003468493,0.150768881122885,0.163212994801701,176244.274295549,0.927284991034525,0.0277744269418594,22098099412315.3,0
general_gu_aggregate,4010,편의점,M5,log_ridge_smear,ticket,228,0.0472364508232727,0.000630877859440892,0.0461744409028012,0.0483972565352588,420.045877247074,0.803236595829729,-0.000180981713175668,75215957.6293898,0
general_gu_aggregate,4010,편의점,M9,log_ridge_smear,amt,228,0.0990733177078836,0.00587788341801862,0.0911015261568198,0.106887773006243,891404311.04576,0.970787495265553,-0.00248636075475064,5.36815247222896e+20,0
general_gu_aggregate,4010,편의점,M9,log_ridge_smear,cnt,228,0.100061890132427,0.00613483943812335,0.0921729760769428,0.107423690314914,111769.520114916,0.971805399161453,8.89935938793136e-05,8568342369545.34,0
general_gu_aggregate,4010,편의점,M9,log_ridge_smear,ticket,228,0.0410349771775271,0.000830918797809452,0.0394892232810488,0.0420809851757386,364.899832352684,0.861225478473927,-0.000181281074620908,53048779.9556024,0
general_gu_aggregate,4020,슈퍼마켓,M5,log_ridge_smear,amt,228,0.291280086664619,0.00566394878582736,0.281265777034736,0.301305131935388,2808128102.73446,0.765460926001951,0.0474826903005969,5.0429815086322e+21,0
general_gu_aggregate,4020,슈퍼마켓,M5,log_ridge_smear,cnt,228,0.303995082710268,0.0080684466981567,0.289743432754518,0.314073777796952,153597.45414232,0.742674655415049,0.0423221754808791,16262848969798.3,0
general_gu_aggregate,4020,슈퍼마켓,M5,log_ridge_smear,ticket,228,0.155712770910953,0.0014552207045249,0.153447069040938,0.158091327335737,3326.34149382115,0.380019810214118,0.00126944612355061,3985367674.96441,0
general_gu_aggregate,4020,슈퍼마켓,M9,log_ridge_smear,amt,228,0.248016242205797,0.0131030041859265,0.226570737643161,0.266700487436894,2391036708.50869,0.845533718462572,0.04721528655797,3.32128283881133e+21,0
general_gu_aggregate,4020,슈퍼마켓,M9,log_ridge_smear,cnt,228,0.216847349951249,0.00903329564884982,0.203244211636184,0.230495077121602,109564.933067569,0.884422737493275,0.031462705170356,7304432322907.38,0
general_gu_aggregate,4020,슈퍼마켓,M9,log_ridge_smear,ticket,228,0.132143824672675,0.0036345480744107,0.127983337154744,0.13865548761419,2822.86086484398,0.502465889326111,-0.00120853523177579,3198257612.96774,0
general_gu_aggregate,8001,일반한식,M5,log_ridge_smear,amt,228,0.184183033045381,0.00552660994070563,0.176482844723839,0.194093751647639,4479096748.40803,0.908167099908618,0.0108264126452138,1.07515303283511e+22,0
general_gu_aggregate,8001,일반한식,M5,log_ridge_smear,cnt,228,0.205129480856892,0.00411113368524856,0.198893171171838,0.211253477985045,135103.246883497,0.892351871066864,0.0295232825919778,9281961142953.78,0
general_gu_aggregate,8001,일반한식,M5,log_ridge_smear,ticket,228,0.131290845095095,0.00190457273768456,0.128554922489649,0.134641214448552,5059.49268809814,0.185775388894785,0.0003807772002603,10772755425.8783,0
general_gu_aggregate,8001,일반한식,M9,log_ridge_smear,amt,228,0.123605957375018,0.00419210001181826,0.117513009274983,0.132499538824251,3005939432.14025,0.955325772306451,0.00629993497414456,5.23032936414828e+21,0
general_gu_aggregate,8001,일반한식,M9,log_ridge_smear,cnt,228,0.146562547329422,0.00573762621210288,0.139739872299398,0.158456754157822,96529.6452416572,0.942020716347226,0.0261332498950985,4999264393119.35,0
general_gu_aggregate,8001,일반한식,M9,log_ridge_smear,ticket,228,0.136825119649748,0.00241213968198374,0.132555250583392,0.139555621689041,5272.7643874532,0.159529112839032,0.00227684802103821,11120011832.6884,0
general_gu_aggregate,8002,갈비전문점,M5,log_ridge_smear,amt,77,1.15055737080751,0.149076454324225,0.986465823136144,1.36614017907616,126669941.335395,-0.788927256810988,0.134955589361292,3.36686560734076e+18,0
general_gu_aggregate,8002,갈비전문점,M5,log_ridge_smear,cnt,77,1.01237374492038,0.104452622277068,0.884461930388118,1.21398088113689,1443.78958507716,-0.589417784446769,0.0516555054607091,416449907.553602,0
general_gu_aggregate,8002,갈비전문점,M5,log_ridge_smear,ticket,77,0.346365777189551,0.0218220186201117,0.321250221386542,0.38578795223646,24746.2331244743,-0.450659446956647,0.0074599784934743,87366911488.769,0
general_gu_aggregate,8002,갈비전문점,M9,log_ridge_smear,amt,77,1.337286291522,0.491714314449461,0.844015555604683,2.25887278261444,147227752.734166,-12.8403755983664,0.390613182819557,2.60483954377702e+19,0
general_gu_aggregate,8002,갈비전문점,M9,log_ridge_smear,cnt,77,1.10270830653172,0.362347638407035,0.781660884668452,1.91873450925507,1572.61957487231,-6.33996833409314,0.258788332751554,1923175369.05089,0
general_gu_aggregate,8002,갈비전문점,M9,log_ridge_smear,ticket,77,0.39952192910161,0.0434244237140633,0.339382384699803,0.487435167921982,28543.9943752804,-1.03523253623629,0.0173928753688003,122573207120.012,0
general_gu_aggregate,8003,한정식,M5,log_ridge_smear,amt,16,2.08041507778481,0.874133362319459,1.06218271550731,3.66310320324081,135957725.852085,-11.8785905612304,0.726852419230432,1.37185288344663e+18,0
general_gu_aggregate,8003,한정식,M5,log_ridge_smear,cnt,16,1.70716799251105,0.759296765697215,0.952571782526154,3.10624210418678,1407.77340582443,-11.2691749660232,0.489897101306303,194300540.898633,0
general_gu_aggregate,8003,한정식,M5,log_ridge_smear,ticket,16,0.826894134571023,0.169673271882983,0.560619102179865,1.16247633907143,76653.9462033755,-1.08264816425818,0.0845858998378292,225932998784.58,0
general_gu_aggregate,8003,한정식,M9,log_ridge_smear,amt,16,1.02051315549602,0.216966572803205,0.757857140764046,1.50886279328968,66691810.3531092,-0.625054945272901,-0.282313830529688,1.73104059938283e+17,0
general_gu_aggregate,8003,한정식,M9,log_ridge_smear,cnt,16,0.684658440505204,0.0908516808699723,0.526964907751347,0.838329173794573,564.586466501604,-0.159809236862857,-0.310818978875221,18367295.4934416,0
general_gu_aggregate,8003,한정식,M9,log_ridge_smear,ticket,16,0.891033876741513,0.11478688541539,0.690910227688003,1.12188603275811,82599.7670047115,-1.1109787154278,0.043049865006302,229006396631.042,0
general_gu_aggregate,8004,일식회집,M5,log_ridge_smear,amt,216,0.341495799818911,0.0126663640215966,0.326801473742107,0.359826479905706,682171487.988563,0.722857553834486,0.131028836978409,3.56153479625728e+20,0
general_gu_aggregate,8004,일식회집,M5,log_ridge_smear,cnt,216,0.29672914755487,0.0117933839636182,0.283797919863973,0.315221360710983,11794.1002965937,0.80944920320314,0.129226920050785,117541064697.759,0
general_gu_aggregate,8004,일식회집,M5,log_ridge_smear,ticket,216,0.167633308345658,0.00362896061506393,0.160815753173677,0.17526791381469,10177.2724393165,0.423439990304651,-0.00163238920233134,48618089175.2288,0
general_gu_aggregate,8004,일식회집,M9,log_ridge_smear,amt,216,0.236582666456373,0.0081754754312267,0.221801066536487,0.248959325950379,472597173.067511,0.865443898569664,0.0798551275115747,1.72916939979184e+20,0
general_gu_aggregate,8004,일식회집,M9,log_ridge_smear,cnt,216,0.233948910947735,0.0085979252596826,0.217265283053632,0.242514738756114,9298.77277892366,0.872004111278642,0.0903604517228502,78954133439.1952,0
general_gu_aggregate,8004,일식회집,M9,log_ridge_smear,ticket,216,0.152190288949728,0.00668018187965598,0.138822291567455,0.162900446075162,9239.70330565759,0.474447720854714,0.00625229947952668,44316891813.6231,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,228,0.194848607996274,0.00530426606239543,0.186309820425883,0.203996326397473,371216825.405117,0.861928228453941,0.00170708536459091,1.31162161943102e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,228,0.184438376509209,0.00474576530666206,0.176099623259076,0.190123953898997,12428.9462592466,0.837197893341918,0.00965885500382708,174954004064.513,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,228,0.0722100700821734,0.00112642422713701,0.0707008174829931,0.0743076252379412,2029.49967546607,0.194440575932925,0.000109893599895846,1839003939.62965,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,228,0.169483502992844,0.00587532825190369,0.157343139402242,0.175838427944804,322892365.444794,0.875887161325426,0.00688287635615463,1.17901784435511e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,228,0.16142484890278,0.00731143282478868,0.150859633410908,0.173039094988792,10878.1090459201,0.842984629112421,0.00991833109336375,168735333960.698,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,228,0.0701031034216785,0.00204542814906608,0.0680883002720445,0.074873075275647,1970.28233709725,0.229068238808325,0.000739843123905292,1759952777.73458,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,228,0.20621994237371,0.00432178684728038,0.197002193372372,0.212343394669857,1457162042.8172,0.885631963782794,0.0063614031690539,2.20923456736375e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,228,0.23635381808887,0.00581491087159016,0.226951381983638,0.2452448169158,151613.285548446,0.821594155401479,0.0239564093775,26643398121706.4,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,228,0.0998323387887931,0.00217970386813543,0.0972366158270142,0.104175023670863,1196.53121093447,0.532047424101424,0.00119820756398567,578609061.300782,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,228,0.143722143660664,0.0061858662107495,0.136107240893672,0.15440533037577,1015548981.55833,0.894202626637015,-0.00614417440961814,2.04367603135108e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,228,0.155390794139109,0.00853748630452838,0.145730352206355,0.173378801960841,99678.1394686592,0.834319486867326,-0.00288503260072639,24742977912726.1,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,228,0.0882503713489686,0.00305570502649201,0.0831767769174535,0.0938898555745027,1057.71661744793,0.615514348556851,-0.000208691450219887,475404759.633928,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,228,0.211814177198544,0.00632887999252829,0.19979712292919,0.218710899819665,455464694.116904,0.875571767152218,0.0326043111505332,1.26121378317851e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,228,0.280630063618609,0.00924144117464791,0.264246155930486,0.295326671931221,37649.7084318252,0.801841978903964,0.0807981061813639,890494329658.01,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,228,0.110800641571987,0.00319692940608139,0.10602039522903,0.116275994439804,2057.83954837312,0.482944341622996,-0.000218873954718821,1955879917.40986,0
general_gu_aggregate,8021,스넥,M9,log_ridge_smear,amt,228,0.183253503593968,0.00700471117075112,0.174751115724101,0.194419428098421,394050587.473385,0.88094297846948,0.0244784531907272,1.20677078748008e+20,0
general_gu_aggregate,8021,스넥,M9,log_ridge_smear,cnt,228,0.23512539323245,0.0123793217047209,0.219494854664017,0.256737394572076,31544.7403815967,0.7608359198575,0.0625793665506631,1074769802639.24,0
general_gu_aggregate,8021,스넥,M9,log_ridge_smear,ticket,228,0.111331097459717,0.00314148903990039,0.106195500449796,0.115207560920303,2067.69141465251,0.494160548825279,-0.000987563258946581,1913452078.04472,0
general_gu_aggregate,8301,제과점,M5,log_ridge_smear,amt,227,0.268763116618084,0.00513848510370543,0.26182934747389,0.277035599940698,482467705.320625,0.71807147628312,0.0422217955729163,2.53622879485892e+20,0
