scope,industry,target,repeat,comparison,block,wape_gain_pp,sse_reduction
4004,대형할인점,amt,3,leave_one_block_out,6,-0.7527724829965,-0.0923464286782967
4004,대형할인점,amt,3,leave_one_block_out,7,0.945766666613912,0.0709033590802648
4004,대형할인점,amt,3,leave_one_block_out,8,-4.19606940690921,-0.859183834772874
4004,대형할인점,amt,3,leave_one_block_out,9,-1.99699404597334,-0.481745139982688
4004,대형할인점,amt,4,sequential,2,0.431068846076388,0.00566970422997659
4004,대형할인점,amt,4,sequential,3,-2.32877065252121,-0.0667439958432168
4004,대형할인점,amt,4,sequential,4,-4.8740679550295,-0.195572324984679
4004,대형할인점,amt,4,sequential,5,-0.471443279282413,-0.00403320889409819
4004,대형할인점,amt,4,sequential,6,1.57269411272332,0.0428251586711
4004,대형할인점,amt,4,sequential,7,-0.750678929314585,-0.0560054819787716
4004,대형할인점,amt,4,sequential,8,-0.0533618330181507,-0.0749692044376322
4004,대형할인점,amt,4,sequential,9,-12.915436175136,-3.26107873997211
4004,대형할인점,amt,4,sequential,10,2.04039286189593,0.153162108143146
4004,대형할인점,amt,4,leave_one_block_out,1,-8.18866448788286,-2.60949250704003
4004,대형할인점,amt,4,leave_one_block_out,2,-5.77161923447427,-0.240080167802868
4004,대형할인점,amt,4,leave_one_block_out,3,-1.31876673983984,-0.0151410371252991
4004,대형할인점,amt,4,leave_one_block_out,4,-17.4750436693788,-3.97584715797417
4004,대형할인점,amt,4,leave_one_block_out,5,-1.53055089534221,-0.284002277345872
4004,대형할인점,amt,4,leave_one_block_out,6,2.79083640861595,0.222950405695494
4004,대형할인점,amt,4,leave_one_block_out,7,0.24889370029394,-0.0167335123060943
4004,대형할인점,amt,4,leave_one_block_out,8,-13.2067313830124,-3.82833697958463
4004,대형할인점,amt,4,leave_one_block_out,9,-12.915436175136,-3.26107873997211
4004,대형할인점,amt,5,sequential,2,0.868694115994184,0.0252681593393107
4004,대형할인점,amt,5,sequential,3,-0.226113291163721,-0.0711057764979668
4004,대형할인점,amt,5,sequential,4,-4.21026546705481,-0.245993422163442
4004,대형할인점,amt,5,sequential,5,-1.92555835448048,-0.00542128538565434
4004,대형할인점,amt,5,sequential,6,2.02233797764213,0.0776777454674732
4004,대형할인점,amt,5,sequential,7,-1.72719841696513,-0.0543861628633522
4004,대형할인점,amt,5,sequential,8,0.15296461341453,-0.0111790684706723
4004,대형할인점,amt,5,sequential,9,-2.4930109503925,-0.282892180009337
4004,대형할인점,amt,5,sequential,10,-0.0716892455376539,0.0515076291967197
4004,대형할인점,amt,5,leave_one_block_out,1,5.4092390744867,-0.165977452458405
4004,대형할인점,amt,5,leave_one_block_out,2,1.42117696269255,0.284749260181808
4004,대형할인점,amt,5,leave_one_block_out,3,-0.0513815957715047,-0.0387911713258096
4004,대형할인점,amt,5,leave_one_block_out,4,-6.58663148639568,-0.490576503926731
4004,대형할인점,amt,5,leave_one_block_out,5,-1.58174929944572,-0.220161833213223
